% start	end	CellId	IMSI	RNTI	LCID	nTxPDUs	TxBytes	nRxPDUs	RxBytes	delay	stdDev	min	max	PduSize	stdDev	min	max
2	2.25	2	9	5	3	237	27135	233	23975	0.00472287	9.24483e-05	0.00471429	0.00571429	102.897	18.2923	65	153	
2	2.25	1	10	3	3	176	96200	175	94243	0.00473143	0.000168642	0.00471429	0.00671429	538.531	197.726	3	1431	
2	2.25	4	11	1	3	250	26302	250	26424	0.00471429	0	0.00471429	0.00471429	105.696	41.9781	87	209	
2	2.25	2	12	4	3	243	28997	242	26952	0.00473495	0.000142542	0.00471429	0.00571429	111.372	17.0567	103	209	
2	2.25	3	13	1	3	216	38408	215	38235	0.00471429	0	0.00471429	0.00471429	177.837	21.9525	173	277	
2	2.25	1	14	1	3	248	96248	247	95963	0.00471429	0	0.00471429	0.00471429	388.514	123.001	39	645	
2.25	2.5	4	1	2	4	243	38839	242	37046	0.00473495	0.000142542	0.00471429	0.00571429	153.083	26.7732	141	277	
2.25	2.5	2	2	2	4	250	18538	250	18498	0.00471429	0	0.00471429	0.00471429	73.992	19.5378	65	153	
2.25	2.5	2	3	3	4	250	53354	250	53354	0.00471429	0	0.00471429	0.00471429	213.416	27.6307	209	389	
2.25	2.5	4	8	3	3	250	40930	250	40794	0.00471429	0	0.00471429	0.00471429	163.176	45.5252	141	317	
2.25	2.5	2	9	5	3	235	26699	231	23991	0.00472727	0.000113464	0.00471429	0.00571429	103.857	19.1527	65	209	
2.25	2.5	1	10	3	3	177	95578	176	92568	0.00473133	0.000168164	0.00471429	0.00671429	525.955	192.639	3	807	
2.25	2.5	4	11	1	3	250	27442	250	27320	0.00471429	0	0.00471429	0.00471429	109.28	46.6834	87	277	
2.25	2.5	2	12	4	3	242	29146	241	27385	0.00473918	0.000156133	0.00471429	0.00571429	113.631	19.7417	105	209	
2.25	2.5	3	13	1	3	207	35915	208	36088	0.00471429	0	0.00471429	0.00471429	173.5	7.2111	173	277	
2.25	2.5	1	14	1	3	247	96715	247	96731	0.00471429	0	0.00471429	0.00471429	391.623	129.111	39	645	
2.5	2.75	4	1	2	4	245	38985	244	37788	0.00472658	0.000110426	0.00471429	0.00571429	154.869	34.8964	141	405	
2.5	2.75	2	2	2	4	250	18498	250	18538	0.00471429	0	0.00471429	0.00471429	74.152	19.6275	65	153	
2.5	2.75	2	3	3	4	250	53354	250	53354	0.00471429	0	0.00471429	0.00471429	213.416	27.6307	209	389	
2.5	2.75	4	8	3	3	250	40930	250	40998	0.00471429	0	0.00471429	0.00471429	163.992	47.3267	141	317	
2.5	2.75	2	9	5	3	235	26787	231	24055	0.00472294	9.28459e-05	0.00471429	0.00571429	104.134	20.0333	65	153	
2.5	2.75	1	10	3	3	178	96632	174	92514	0.00473727	0.000184799	0.00471429	0.00671429	531.69	198.06	3	807	
2.5	2.75	4	11	1	3	250	26900	250	27022	0.00471429	0	0.00471429	0.00471429	108.088	45.8256	87	277	
2.5	2.75	2	12	4	3	243	29243	242	27530	0.00473495	0.000142542	0.00471429	0.00571429	113.76	19.2183	105	209	
2.5	2.75	3	13	1	3	207	35915	207	35915	0.00471429	0	0.00471429	0.00471429	173.502	7.2285	173	277	
2.5	2.75	1	14	1	3	248	96078	248	95998	0.00471429	0	0.00471429	0.00471429	387.089	127.731	39	645	
2.75	3	4	1	2	4	244	38366	243	36973	0.00473075	0.000127502	0.00471429	0.00571429	152.152	29.1719	139	405	
2.75	3	2	2	2	4	250	18297	250	18257	0.00471429	0	0.00471429	0.00471429	73.028	18.9644	64	153	
2.75	3	2	3	3	4	250	53330	250	53330	0.00471429	0	0.00471429	0.00471429	213.32	27.6041	209	389	
2.75	3	4	8	3	3	248	39824	247	39487	0.00471429	0	0.00471429	0.00471429	159.866	42.5192	141	317	
2.75	3	2	9	5	3	231	26119	226	23274	0.00471871	6.6519e-05	0.00471429	0.00571429	102.982	17.9173	65	153	
2.75	3	1	10	3	3	177	95775	175	92335	0.00473143	0.000168642	0.00471429	0.00671429	527.629	191.463	3	807	
2.75	3	4	11	1	3	250	26466	250	26466	0.00471429	0	0.00471429	0.00471429	105.864	43.1844	87	209	
2.75	3	2	12	4	3	244	29058	244	27402	0.00473888	0.000155191	0.00471429	0.00571429	112.303	17.9672	103	209	
